segnet_bce_val_loss
0.623
0.5955
0.5123
0.2717
0.333
0.337
0.3204
0.2826
0.2351
0.2124
0.2734
0.2064
0.2204
0.2424
0.221
0.1979
0.2355
0.2275
0.2232
0.2129
0.2747
0.2329
0.205
0.3087
0.1912
0.1799
0.16
0.2294
0.1846
0.4172
0.3613
0.1968
0.1865
0.1858
0.1729
0.176
0.1836
0.2268
0.1737
0.149
0.1984
0.1474
0.1595
0.1798
0.1901
0.1932
0.3921
0.2134
0.223
0.1685
0.173
0.2247
0.1703
0.1622
0.1549
0.188
0.183
0.1816
0.1423
0.1486
0.2687
0.1794
0.1891
0.2789
0.1624
0.1574
0.2017
0.1573
0.1502
0.1615
0.1647
0.2272
0.2325
0.2172
0.1825
0.1497
0.22
0.1986
0.1768
0.1692
0.1869
0.1551
0.2144
0.2159
0.1786
0.2776
0.1949
0.1622
0.2088
0.2269
0.2242
0.1914
0.1838
0.1873
0.204
0.2341
0.17
0.1854
0.1988
0.2277
