segnet_dice_val_loss
0.12
0.1253
0.1095
0.0956
0.0899
0.1019
0.1
0.0912
0.1137
0.1053
0.1033
0.1087
0.0993
0.089
0.0898
0.0901
0.099
0.0958
0.1314
0.109
0.0967
0.1017
0.1041
0.1334
0.1233
0.1718
0.0976
0.1046
0.1033
0.096
0.0932
0.0973
0.0879
0.0817
0.0934
0.088
0.096
0.1128
0.1129
0.0988
0.097
0.0896
0.0977
0.0894
0.0954
0.131
0.1014
0.0971
0.0898
0.1086
0.0965
0.0977
0.0861
0.0842
0.0889
0.0833
0.0893
0.0862
0.0956
0.0944
0.0822
0.0902
0.0953
0.0936
0.0907
0.0926
0.0881
0.0923
0.0858
0.1163
0.0941
0.0876
0.0887
0.0875
0.098
0.0894
0.0882
0.0871
0.094
0.0837
0.0973
0.0949
0.0948
0.0913
0.0919
0.1031
0.0904
0.1185
0.09
0.0955
0.1054
0.0969
0.1131
0.0978
0.0969
0.0957
0.106
0.0948
0.1126
0.1474
