segnet_tversky_val_loss
0.7845
0.6045
0.1944
0.1673
0.1458
0.1475
0.18
0.1519
0.1184
0.1083
0.1352
0.131
0.1388
0.1373
0.1955
0.1228
0.1797
0.1443
0.1076
0.1177
0.1049
0.1231
0.1081
0.1407
0.1459
0.1141
0.1164
0.1046
0.1306
0.1118
0.112
0.198
0.1287
0.1551
0.1251
0.118
0.1232
0.1132
0.0976
0.0893
0.1065
0.1144
0.0848
0.0998
0.0914
0.103
0.09
0.0935
0.1063
0.101
0.1202
0.1195
0.0958
0.1328
0.1087
0.0943
0.0938
0.0941
0.08
0.0996
0.0947
0.1407
0.101
0.095
0.1193
0.1069
0.1154
0.1053
0.1441
0.1004
0.0901
0.1089
0.1029
0.1016
0.0845
0.0771
0.0912
0.0877
0.0896
0.0841
0.0998
0.0962
0.0921
0.1014
0.0848
0.0994
0.0939
0.1032
0.0827
0.0827
0.0991
0.0963
0.0959
0.09
0.0937
0.0826
0.0962
0.0975
0.0968
0.0786
